group;year;week;value
15to44;2021;34;420
15to44;2021;35;459
15to44;2021;36;521
15to44;2021;37;546
15to44;2021;38;565
15to44;2021;39;579
15to44;2021;40;573
15to44;2021;41;561
15to44;2021;42;559
15to44;2021;43;525
15to44;2021;44;495
15to44;2021;45;509
15to44;2021;46;541
15to44;2021;47;588
15to44;2021;48;653
15to44;2021;49;650
15to44;2021;50;673
15to44;2021;51;704
15to44;2021;52;773
15to44;2022;0;0
15to44;2022;1;84
15to44;2022;2;115
15to44;2022;3;107
15to44;2022;4;174
15to44;2022;5;220
15to44;2022;6;267
15to44;2022;7;299
15to44;2022;8;329
15to44;2022;9;328
15to44;2022;10;318
15to44;2022;11;347
15to44;2022;12;363
15to44;2022;13;377
15to44;2022;14;415
15to44;2022;15;392
15to44;2022;16;341
15to44;2022;17;319
15to44;2022;18;336
15to44;2022;19;337
15to44;2022;20;339
15to44;2022;21;354
15to44;2022;22;297
15to44;2022;23;341
15to44;2022;24;388
15to44;2022;25;403
15to44;2022;26;386
15to44;2022;27;465
15to44;2022;28;531
15to44;2022;29;571
15to44;2022;30;597
15to44;2022;31;641
15to44;2022;32;694
15to44;2022;33;697
15to44;2022;34;696
15to44;2022;35;699
15to44;2022;36;674
15to44;2022;37;626
15to44;2022;38;594
15to44;2022;39;540
15to44;2022;40;548
15to44;2022;41;517
15to44;2022;42;465
15to44;2022;43;426
15to44;2022;44;340
15to44;2022;45;268
15to44;2022;46;204
15to44;2022;47;177
15to44;2022;48;220
15to44;2022;49;208
15to44;2022;50;230
15to44;2022;51;240
15to44;2022;52;313
15to44;2018;0;0
15to44;2018;1;108
15to44;2018;2;182
15to44;2018;3;188
15to44;2018;4;198
15to44;2018;5;192
15to44;2018;6;283
15to44;2018;7;317
15to44;2018;8;348
15to44;2018;9;402
15to44;2018;10;446
15to44;2018;11;474
15to44;2018;12;451
15to44;2018;13;481
15to44;2018;14;450
15to44;2018;15;472
15to44;2018;16;512
15to44;2018;17;511
15to44;2018;18;545
15to44;2018;19;564
15to44;2018;20;578
15to44;2018;21;574
15to44;2018;22;553
15to44;2018;23;546
15to44;2018;24;503
15to44;2018;25;511
15to44;2018;26;547
15to44;2018;27;558
15to44;2018;28;604
15to44;2018;29;621
15to44;2018;30;627
15to44;2018;31;718
15to44;2018;32;753
15to44;2018;33;780
15to44;2018;34;807
15to44;2018;35;801
15to44;2018;36;836
15to44;2018;37;837
15to44;2018;38;834
15to44;2018;39;830
15to44;2018;40;803
15to44;2018;41;882
15to44;2018;42;898
15to44;2018;43;854
15to44;2018;44;845
15to44;2018;45;823
15to44;2018;46;798
15to44;2018;47;798
15to44;2018;48;788
15to44;2018;49;782
15to44;2018;50;808
15to44;2018;51;849
15to44;2018;52;852
15to44;2019;0;0
15to44;2019;1;76
15to44;2019;2;124
15to44;2019;3;179
15to44;2019;4;201
15to44;2019;5;241
15to44;2019;6;284
15to44;2019;7;315
15to44;2019;8;335
15to44;2019;9;306
15to44;2019;10;317
15to44;2019;11;299
15to44;2019;12;286
15to44;2019;13;237
15to44;2019;14;214
15to44;2019;15;210
15to44;2019;16;211
15to44;2019;17;193
15to44;2019;18;170
15to44;2019;19;177
15to44;2019;20;157
15to44;2019;21;150
15to44;2019;22;160
15to44;2019;23;144
15to44;2019;24;90
15to44;2019;25;67
15to44;2019;26;115
15to44;2019;27;147
15to44;2019;28;138
15to44;2019;29;131
15to44;2019;30;145
15to44;2019;31;116
15to44;2019;32;136
15to44;2019;33;95
15to44;2019;34;92
15to44;2019;35;119
15to44;2019;36;53
15to44;2019;37;66
15to44;2019;38;81
15to44;2019;39;25
15to44;2019;40;-43
15to44;2019;41;-26
15to44;2019;42;-98
15to44;2019;43;-121
15to44;2019;44;-145
15to44;2019;45;-172
15to44;2019;46;-197
15to44;2019;47;-250
15to44;2019;48;-287
15to44;2019;49;-307
15to44;2019;50;-342
15to44;2019;51;-371
15to44;2019;52;-394
45to64;2021;0;0
45to64;2021;1;702
45to64;2021;2;1379
45to64;2021;3;2089
45to64;2021;4;2830
45to64;2021;5;3438
45to64;2021;6;3884
45to64;2021;7;4266
45to64;2021;8;4558
45to64;2021;9;4763
45to64;2021;10;4988
45to64;2021;11;5220
45to64;2021;12;5502
45to64;2021;13;5833
45to64;2021;14;6173
45to64;2021;15;6570
45to64;2021;16;7041
45to64;2021;17;7455
45to64;2021;18;7829
45to64;2021;19;8088
45to64;2021;20;8227
45to64;2021;21;8420
45to64;2021;22;8637
45to64;2021;23;8762
45to64;2021;24;8819
45to64;2021;25;8946
45to64;2021;26;9192
45to64;2021;27;9213
45to64;2021;28;9308
45to64;2021;29;9469
45to64;2021;30;9607
45to64;2021;31;9988
45to64;2021;32;10360
45to64;2021;33;10730
45to64;2021;34;10963
45to64;2021;35;11277
45to64;2021;36;11579
45to64;2021;37;11698
45to64;2021;38;11866
45to64;2021;39;12108
45to64;2021;40;12331
45to64;2021;41;12618
45to64;2021;42;12805
45to64;2021;43;13053
45to64;2021;44;13274
45to64;2021;45;13701
45to64;2021;46;14214
45to64;2021;47;14697
45to64;2021;48;15327
45to64;2021;49;16046
45to64;2021;50;16792
45to64;2021;51;17563
45to64;2021;52;18358
45to64;2022;0;0
45to64;2022;1;606
45to64;2022;2;1343
45to64;2022;3;2004
45to64;2022;4;2690
45to64;2022;5;3328
45to64;2022;6;3774
45to64;2022;7;4181
45to64;2022;8;4375
45to64;2022;9;4714
45to64;2022;10;4850
45to64;2022;11;5080
45to64;2022;12;5279
45to64;2022;13;5533
45to64;2022;14;5753
45to64;2022;15;5956
45to64;2022;16;5991
45to64;2022;17;6074
45to64;2022;18;6217
45to64;2022;19;6259
45to64;2022;20;6383
45to64;2022;21;6372
45to64;2022;22;6422
45to64;2022;23;6437
45to64;2022;24;6570
45to64;2022;25;6677
45to64;2022;26;6831
45to64;2022;27;7072
45to64;2022;28;7476
45to64;2022;29;7920
45to64;2022;30;8251
45to64;2022;31;8531
45to64;2022;32;8772
45to64;2022;33;8886
45to64;2022;34;8952
45to64;2022;35;8986
45to64;2022;36;8960
45to64;2022;37;8845
45to64;2022;38;9027
45to64;2022;39;9093
45to64;2022;40;9166
45to64;2022;41;9175
45to64;2022;42;9141
45to64;2022;43;9319
45to64;2022;44;9290
45to64;2022;45;9515
45to64;2022;46;9678
45to64;2022;47;9952
45to64;2022;48;10222
45to64;2022;49;10893
45to64;2022;50;11339
45to64;2022;51;12094
45to64;2022;52;12866
45to64;2018;0;0
45to64;2018;1;607
45to64;2018;2;1002
45to64;2018;3;1379
45to64;2018;4;1746
45to64;2018;5;2113
45to64;2018;6;2428
45to64;2018;7;2898
45to64;2018;8;3341
45to64;2018;9;3860
45to64;2018;10;4307
45to64;2018;11;4587
45to64;2018;12;4837
45to64;2018;13;4998
45to64;2018;14;5163
45to64;2018;15;5384
45to64;2018;16;5478
45to64;2018;17;5445
45to64;2018;18;5390
45to64;2018;19;5306
45to64;2018;20;5358
45to64;2018;21;5353
45to64;2018;22;5345
45to64;2018;23;5342
45to64;2018;24;5315
45to64;2018;25;5388
45to64;2018;26;5347
45to64;2018;27;5403
45to64;2018;28;5364
45to64;2018;29;5437
45to64;2018;30;5561
45to64;2018;31;5708
45to64;2018;32;5816
45to64;2018;33;5766
45to64;2018;34;5736
